timestamp,x,y,confianca
0.315,0,101,0.2
0.395,0,100,0.4
0.476,0,100.333,0.6
0.558,0,99.6667,0.8
0.638,0,100.333,1
0.718,0,99.6667,1
0.799,0,99.6667,1
0.879,0,99.3333,1
0.959,0,99.6667,1
1.039,0,100.333,1
1.12,0,100.333,1
1.2,0,99.6667,1
1.281,0,99.6667,1
1.36,0,100,1
1.44,0,101,1
1.521,0,101,1
1.601,0,100.667,1
1.666,0,100.667,1
1.746,0,101,1
1.826,0,101.667,1
1.907,0,101.333,1
1.987,0,101.333,1
2.068,1,101,1
2.148,1,101.333,1
2.228,1,101.333,1
2.308,1,101.333,1
2.388,1,101,1
2.469,1,100.333,1
2.549,1,100.667,1
2.629,1,101,1
2.71,1,101.667,1
2.79,1,101.667,1
2.87,1,101.667,1
2.951,1,101.333,1
3.031,2,101.333,1
3.111,2,101.333,1
3.191,2,101.333,1
3.272,2,100.667,1
3.352,2,100.667,1
3.432,2,101,1
3.512,2,101.667,1
3.592,2,101.333,1
3.672,2,101.333,1
3.753,2,101.667,1
3.834,3,101.667,1
3.914,3,101.333,1
3.994,3,100.667,1
4.074,3,101,1
4.154,3,100.667,1
4.234,3,100.667,1
4.316,3,100.667,1
4.397,3,101.333,1
4.478,3,101.333,1
4.559,3,101,1
4.639,4,101,1
4.719,4,101,1
4.8,4,101.333,1
4.881,4,101,1
4.961,4,101,1
5.041,4,100.333,1
5.121,4,100.667,1
5.201,4,100.333,1
5.267,4,100.333,1
5.347,5,99.3333,1
5.428,5,99.3333,1
5.509,5,100,1
5.591,5,100.333,1
5.671,5,100,1
5.752,5,99.3333,1
5.831,5,99.6667,1
5.912,5,100.333,1
5.992,5,100.667,1
6.073,5,99.6667,1
6.152,5,99.3333,1
6.234,5,99.6667,1
6.313,5,99.6667,1
6.393,5,99,1
6.474,5,98.3333,1
6.556,5,98.6667,1
6.635,5,99.3333,1
6.716,5,99.3333,1
6.797,5,99.6667,1
6.877,5,99.6667,1
6.957,5,100,1
7.038,5,100,1
7.119,5,99.6667,1
7.2,5,99,1
7.281,5,98.6667,1
7.361,5,99,1
7.44,5,99,1
7.52,5,99.3333,1
7.6,5,98.6667,1
7.68,5,98.6667,1
7.76,5,98.6667,1
7.842,5,99.3333,1
7.921,5,99.3333,1
8.002,5,99.6667,1
8.067,5,99.6667,1
8.147,5,100,1
8.227,5,99,1
